Date,Open,High,Low,Close,Adj Close,Volume
2022-10-25,0.010749,0.011265,0.010669,0.011086,0.011086,3953572
2022-10-26,0.011077,0.012616,0.010935,0.012257,0.012257,8102147
2022-10-27,0.012259,0.016390,0.012197,0.013826,0.013826,85986245
2022-10-28,0.013844,0.015294,0.012472,0.012630,0.012630,108197161
2022-10-29,0.012635,0.012662,0.011715,0.011885,0.011885,30519761
2022-10-30,0.011895,0.011895,0.011325,0.011392,0.011392,9097163
2022-10-31,0.011377,0.011526,0.011177,0.011465,0.011465,9116363
2022-11-01,0.011469,0.011609,0.011275,0.011342,0.011342,6094470
2022-11-02,0.011344,0.011375,0.010844,0.010919,0.010919,4575291
2022-11-03,0.010929,0.011486,0.010918,0.011248,0.011248,4296845
2022-11-04,0.011253,0.011587,0.011229,0.011569,0.011569,4288965
2022-11-05,0.011575,0.011829,0.011489,0.011605,0.011605,3792484
2022-11-06,0.011606,0.011878,0.011341,0.011354,0.011354,3365422
2022-11-07,0.011368,0.011370,0.011073,0.011203,0.011203,3052223
2022-11-08,0.011209,0.011251,0.009114,0.009416,0.009416,6316533
2022-11-09,0.009421,0.009498,0.007146,0.007158,0.007158,5418894
2022-11-10,0.007169,0.008551,0.007138,0.008371,0.008371,3599887
2022-11-11,0.008386,0.008542,0.007599,0.007919,0.007919,3939538
2022-11-12,0.007921,0.007968,0.007602,0.007668,0.007668,2353056
2022-11-13,0.007676,0.007880,0.007246,0.007249,0.007249,3237068
2022-11-14,0.007251,0.008008,0.006861,0.007542,0.007542,12271008
2022-11-15,0.007543,0.008090,0.007543,0.007867,0.007867,8552496
2022-11-16,0.007867,0.008017,0.007682,0.007934,0.007934,2240565
2022-11-17,0.007947,0.007967,0.007706,0.007775,0.007775,1507142
2022-11-18,0.007774,0.008145,0.007773,0.007929,0.007929,7162379
2022-11-19,0.007927,0.008538,0.007903,0.008434,0.008434,14155022
2022-11-20,0.008463,0.009998,0.008210,0.008251,0.008251,21968827
2022-11-21,0.008249,0.008472,0.007889,0.008065,0.008065,9185905
2022-11-22,0.008053,0.008247,0.007936,0.008169,0.008169,2794816
2022-11-23,0.008170,0.008817,0.008145,0.008814,0.008814,3776712
2022-11-24,0.008789,0.009308,0.008736,0.009127,0.009127,7448004
2022-11-25,0.009119,0.010322,0.008775,0.009393,0.009393,14337100
2022-11-26,0.009400,0.009411,0.008993,0.009133,0.009133,5316459
2022-11-27,0.009124,0.009220,0.009006,0.009065,0.009065,2687407
2022-11-28,0.009093,0.009189,0.008606,0.008752,0.008752,6209741
2022-11-29,0.008758,0.009010,0.008719,0.008882,0.008882,3219102
2022-11-30,0.008883,0.009232,0.008876,0.009228,0.009228,2454756
2022-12-01,0.009225,0.009225,0.008865,0.008988,0.008988,2301477
2022-12-02,0.008989,0.009071,0.008871,0.009011,0.009011,2124161
2022-12-03,0.009005,0.009111,0.008957,0.008999,0.008999,1345437
2022-12-04,0.008998,0.009085,0.008970,0.009011,0.009011,1180893
2022-12-05,0.009015,0.009067,0.008851,0.008897,0.008897,1542889
2022-12-06,0.008896,0.008932,0.008813,0.008884,0.008884,1086386
2022-12-07,0.008883,0.008919,0.008612,0.008645,0.008645,2433408
2022-12-08,0.008650,0.008973,0.008527,0.008879,0.008879,2762964
2022-12-09,0.008872,0.009008,0.008838,0.008965,0.008965,1368608
2022-12-10,0.008957,0.010605,0.008859,0.009091,0.009091,13259430
2022-12-11,0.009103,0.009219,0.008909,0.008935,0.008935,2758751
2022-12-12,0.008922,0.008922,0.008492,0.008744,0.008744,2120094
2022-12-13,0.008738,0.008868,0.008526,0.008824,0.008824,2087548
2022-12-14,0.008813,0.008914,0.008730,0.008772,0.008772,1170000
2022-12-15,0.008774,0.008783,0.008517,0.008540,0.008540,1231088
2022-12-16,0.008549,0.008612,0.007961,0.007984,0.007984,1771683
2022-12-17,0.007977,0.007993,0.007715,0.007822,0.007822,1438859
2022-12-18,0.007820,0.007836,0.007716,0.007803,0.007803,814128
2022-12-19,0.007804,0.007889,0.007501,0.007509,0.007509,1505968
2022-12-20,0.007509,0.007840,0.007392,0.007816,0.007816,1427635
2022-12-21,0.007814,0.007832,0.007735,0.007809,0.007809,1003082
2022-12-22,0.007816,0.007862,0.007659,0.007772,0.007772,1050971
2022-12-23,0.007772,0.007850,0.007740,0.007786,0.007786,847151
2022-12-24,0.007779,0.007939,0.007779,0.007866,0.007866,791868
2022-12-25,0.007883,0.007972,0.007750,0.007972,0.007972,3337812
2022-12-26,0.007975,0.007986,0.007758,0.007849,0.007849,2247831
2022-12-27,0.007843,0.007863,0.007615,0.007717,0.007717,1238126
2022-12-28,0.007713,0.007754,0.007378,0.007384,0.007384,1370350
2022-12-29,0.007382,0.007407,0.007301,0.007370,0.007370,1010214
